start,end,duration,total_rain
2010-01-11 18:37:00,2010-01-12 03:12:00,530,123.29599999999999
2010-01-27 13:53:00,2010-01-27 16:17:00,159,36.689
2010-01-29 23:51:00,2010-01-30 02:21:00,165,43.327
2010-01-31 02:53:00,2010-01-31 03:48:00,70,23.345
2010-02-02 11:22:00,2010-02-02 15:20:00,253,69.968
2010-02-19 07:33:00,2010-02-19 09:01:00,103,23.312
2010-02-19 11:02:00,2010-02-19 11:42:00,55,36.662
2010-02-19 20:37:00,2010-02-19 21:06:00,44,36.67
2010-02-25 02:41:00,2010-02-25 05:15:00,169,30.015
2010-02-25 19:29:00,2010-02-25 20:56:00,102,16.678
2010-02-26 20:06:00,2010-02-26 20:45:00,54,23.336
2010-02-28 15:25:00,2010-02-28 21:27:00,377,93.30400000000002
2010-03-01 01:18:00,2010-03-01 04:14:00,191,26.648
2010-03-02 10:04:00,2010-03-02 10:41:00,52,30.005000000000006
2010-03-02 12:47:00,2010-03-02 13:22:00,50,26.665999999999997
2010-03-05 17:08:00,2010-03-05 18:18:00,85,19.994999999999997
2010-03-14 02:08:00,2010-03-14 03:32:00,99,26.679
2010-03-20 06:33:00,2010-03-20 11:54:00,336,83.31899999999999
2010-03-20 21:38:00,2010-03-20 23:29:00,126,23.315999999999995
2010-03-21 01:20:00,2010-03-21 03:26:00,141,16.657
2010-03-26 20:44:00,2010-03-27 00:37:00,248,260.00600000000003
2010-03-30 22:23:00,2010-03-30 23:14:00,66,96.65899999999999
2010-03-31 01:04:00,2010-03-31 03:03:00,134,43.348
2010-04-01 07:37:00,2010-04-01 08:26:00,64,26.663999999999998
2010-04-01 10:08:00,2010-04-01 12:35:00,162,29.987
2010-04-01 23:56:00,2010-04-02 00:14:00,33,16.671
2010-04-04 05:54:00,2010-04-04 07:47:00,128,26.659
2010-04-04 14:34:00,2010-04-04 16:01:00,102,89.99900000000001
2010-04-20 10:22:00,2010-04-20 13:34:00,207,53.339
2010-04-20 15:41:00,2010-04-20 17:07:00,101,16.65
2010-04-20 21:38:00,2010-04-20 22:59:00,96,13.351
2010-04-21 05:44:00,2010-04-21 06:15:00,46,33.335
2010-04-21 11:38:00,2010-04-21 12:35:00,72,13.341999999999999
2010-04-21 14:03:00,2010-04-21 15:21:00,93,29.988999999999997
2010-04-22 13:31:00,2010-04-22 14:15:00,59,16.678
2010-04-30 05:10:00,2010-04-30 08:26:00,211,96.663
2010-05-01 07:06:00,2010-05-01 07:51:00,60,40.007999999999996
2010-05-07 00:30:00,2010-05-07 04:44:00,269,59.96600000000001
2010-05-07 14:50:00,2010-05-07 15:30:00,55,10.013
2010-05-07 16:35:00,2010-05-08 04:51:00,751,239.97299999999998
2010-05-12 05:46:00,2010-05-12 11:54:00,383,109.963
2010-05-12 13:19:00,2010-05-12 15:42:00,158,13.315000000000001
2010-05-15 12:30:00,2010-05-16 00:04:00,709,306.62300000000005
2010-05-16 02:03:00,2010-05-16 02:41:00,53,10.003
2010-05-21 17:34:00,2010-05-21 17:52:00,33,13.332
2010-05-24 07:48:00,2010-05-24 08:57:00,84,53.33699999999999
2010-05-28 14:47:00,2010-05-28 15:23:00,51,49.995000000000005
2010-05-30 04:01:00,2010-05-30 07:48:00,242,43.32400000000001
2010-05-30 12:51:00,2010-05-30 17:19:00,283,49.967
2010-05-30 19:52:00,2010-05-31 02:45:00,428,119.98000000000002
