start,end,duration
2010-01-01 00:00:00,2010-01-04 06:41:00,4781.0
2010-01-04 19:48:00,2010-01-04 22:28:00,220.0
2010-01-05 12:28:00,2010-01-11 17:23:00,8995.0
2010-01-12 15:30:00,2010-01-17 18:55:00,7465.0
2010-01-18 08:32:00,2010-01-19 19:04:00,2132.0
2010-01-20 16:23:00,2010-01-27 12:17:00,9894.0
2010-01-28 11:16:00,2010-01-29 21:47:00,2131.0
2010-01-30 14:36:00,2010-01-31 01:52:00,736.0
2010-01-31 15:48:00,2010-02-02 08:12:00,2484.0
2010-02-03 03:33:00,2010-02-13 10:42:00,14889.0
2010-02-14 05:21:00,2010-02-18 11:24:00,6183.0
2010-02-19 03:55:00,2010-02-19 06:32:00,217.0
2010-02-20 09:08:00,2010-02-22 20:18:00,3610.0
2010-02-23 10:17:00,2010-02-24 15:36:00,1819.0
2010-02-26 09:27:00,2010-02-26 17:17:00,530.0
2010-02-27 08:55:00,2010-02-27 19:00:00,665.0
2010-02-28 08:46:00,2010-02-28 14:22:00,396.0
2010-03-01 18:44:00,2010-03-02 09:03:00,919.0
2010-03-03 01:25:00,2010-03-03 23:33:00,1388.0
2010-03-04 12:37:00,2010-03-05 16:07:00,1710.0
2010-03-06 06:32:00,2010-03-14 01:07:00,11255.0
2010-03-14 15:32:00,2010-03-19 06:43:00,6731.0
2010-03-19 20:59:00,2010-03-20 05:32:00,573.0
2010-03-21 16:44:00,2010-03-23 02:44:00,2100.0
2010-03-23 16:05:00,2010-03-25 22:47:00,3342.0
2010-03-26 11:50:00,2010-03-26 16:32:00,342.0
2010-03-27 12:39:00,2010-03-30 21:22:00,4903.0
2010-03-31 16:08:00,2010-04-01 06:36:00,928.0
2010-04-02 12:19:00,2010-04-04 04:53:00,2494.0
2010-04-05 04:16:00,2010-04-20 09:21:00,21965.0
2010-04-22 06:56:00,2010-04-22 12:30:00,394.0
2010-04-23 02:15:00,2010-04-23 07:37:00,382.0
2010-04-23 20:41:00,2010-04-26 15:23:00,4062.0
2010-04-27 05:50:00,2010-04-30 03:57:00,4267.0
2010-04-30 21:26:00,2010-05-01 06:05:00,579.0
2010-05-01 20:28:00,2010-05-06 23:29:00,7441.0
2010-05-08 16:51:00,2010-05-12 04:27:00,5076.0
2010-05-13 07:22:00,2010-05-15 11:05:00,3163.0
2010-05-17 04:16:00,2010-05-21 16:28:00,6552.0
2010-05-22 05:52:00,2010-05-24 05:29:00,2917.0
2010-05-24 21:06:00,2010-05-28 01:41:00,4655.0
2010-05-29 07:50:00,2010-05-30 03:00:00,1210.0
2010-05-31 18:35:00,2010-06-02 00:28:00,1853.0
2010-06-02 14:13:00,2010-06-07 01:55:00,6522.0
2010-06-08 00:34:00,2010-06-08 21:15:00,1301.0
2010-06-09 17:57:00,2010-06-10 02:42:00,585.0
2010-06-12 05:21:00,2010-06-19 10:25:00,10444.0
2010-06-20 11:01:00,2010-07-04 00:25:00,19584.0
2010-07-04 14:52:00,2010-07-12 15:27:00,11615.0
2010-07-13 17:55:00,2010-07-17 01:02:00,4807.0
2010-07-18 04:30:00,2010-07-22 00:09:00,5559.0
2010-07-22 16:01:00,2010-07-24 14:05:00,2824.0
2010-07-25 04:32:00,2010-07-28 12:06:00,4834.0
2010-07-29 11:29:00,2010-07-30 02:46:00,977.0
2010-07-30 23:35:00,2010-07-31 18:04:00,1169.0
2010-08-02 03:29:00,2010-08-04 15:21:00,3652.0
2010-08-05 05:04:00,2010-08-08 09:45:00,4661.0
2010-08-09 07:22:00,2010-08-10 22:04:00,2382.0
2010-08-12 01:03:00,2010-08-12 09:20:00,557.0
2010-08-13 13:23:00,2010-08-14 02:54:00,871.0
2010-08-14 22:51:00,2010-08-15 03:19:00,328.0
2010-08-15 16:36:00,2010-08-15 21:24:00,348.0
2010-08-17 00:35:00,2010-08-17 06:55:00,440.0
2010-08-19 04:13:00,2010-08-22 02:59:00,4306.0
2010-08-22 23:49:00,2010-08-23 10:20:00,691.0
2010-08-25 11:37:00,2010-08-28 10:18:00,4301.0
2010-08-29 01:17:00,2010-08-29 15:30:00,913.0
2010-08-30 14:17:00,2010-09-03 15:55:00,5918.0
2010-09-04 08:42:00,2010-09-09 12:21:00,7479.0
2010-09-11 02:10:00,2010-09-11 05:29:00,259.0
2010-09-11 20:51:00,2010-09-12 05:23:00,572.0
2010-09-13 12:54:00,2010-09-13 22:17:00,623.0
2010-09-18 03:29:00,2010-09-18 15:28:00,779.0
2010-09-19 04:55:00,2010-09-20 02:13:00,1338.0
2010-09-21 06:40:00,2010-09-24 18:09:00,5069.0
2010-09-25 07:44:00,2010-09-26 02:08:00,1164.0
2010-09-26 17:30:00,2010-10-06 16:50:00,14420.0
2010-10-07 15:39:00,2010-10-15 20:56:00,11897.0
2010-10-16 13:26:00,2010-10-18 16:39:00,3133.0
2010-10-19 14:08:00,2010-10-20 11:03:00,1315.0
2010-10-21 04:33:00,2010-10-21 13:53:00,620.0
2010-10-22 12:37:00,2010-10-22 14:16:00,159.0
2010-10-25 07:16:00,2010-10-25 12:06:00,350.0
2010-10-26 02:32:00,2010-10-27 06:02:00,1710.0
2010-10-29 00:49:00,2010-10-30 15:57:00,2408.0
2010-10-31 10:52:00,2010-10-31 16:41:00,409.0
2010-11-01 07:34:00,2010-11-02 09:22:00,1608.0
2010-11-03 23:51:00,2010-11-04 18:49:00,1198.0
2010-11-05 15:24:00,2010-11-05 20:53:00,389.0
2010-11-06 16:47:00,2010-11-08 10:27:00,2560.0
2010-11-09 01:32:00,2010-11-11 15:38:00,3786.0
2010-11-13 06:50:00,2010-11-14 07:53:00,1563.0
2010-11-15 12:28:00,2010-11-18 11:23:00,4315.0
2010-11-20 12:14:00,2010-11-22 16:19:00,3185.0
2010-11-24 09:30:00,2010-11-25 12:07:00,1657.0
2010-11-27 10:33:00,2010-11-28 06:08:00,1235.0
2010-11-28 19:40:00,2010-11-29 00:26:00,346.0
2010-11-29 14:47:00,2010-12-02 20:01:00,4694.0
2010-12-03 15:19:00,2010-12-04 16:48:00,1589.0
2010-12-06 01:27:00,2010-12-08 10:51:00,3504.0
2010-12-08 23:52:00,2010-12-10 16:23:00,2491.0
2010-12-11 12:32:00,2010-12-11 20:42:00,550.0
2010-12-12 10:20:00,2010-12-16 04:45:00,5485.0
2010-12-17 00:44:00,2010-12-20 18:06:00,5422.0
2010-12-21 09:14:00,2010-12-22 22:13:00,2279.0
2010-12-23 23:17:00,2010-12-31 00:05:00,10188.0
2011-01-02 00:40:00,2011-01-04 13:45:00,3725.0
2011-01-05 09:05:00,2011-01-06 01:12:00,1027.0
2011-01-07 02:21:00,2011-01-07 20:32:00,1151.0
2011-01-09 04:09:00,2011-01-11 17:34:00,3745.0
2011-01-12 09:22:00,2011-01-13 15:49:00,1887.0
2011-01-14 09:23:00,2011-01-14 12:45:00,262.0
2011-01-15 06:24:00,2011-01-15 14:43:00,559.0
2011-01-16 12:10:00,2011-01-17 00:54:00,824.0
2011-01-17 15:16:00,2011-01-17 17:48:00,212.0
2011-01-18 12:33:00,2011-01-21 18:06:00,4713.0
2011-01-22 10:54:00,2011-01-25 00:55:00,3781.0
2011-01-25 23:59:00,2011-01-26 08:48:00,589.0
2011-01-26 22:27:00,2011-02-02 20:17:00,10010.0
2011-02-03 14:09:00,2011-02-03 15:56:00,167.0
2011-02-05 18:54:00,2011-02-06 13:00:00,1146.0
2011-02-07 10:53:00,2011-02-08 10:56:00,1503.0
2011-02-09 00:03:00,2011-02-10 13:31:00,2308.0
2011-02-11 05:21:00,2011-02-15 16:09:00,6468.0
2011-02-16 16:07:00,2011-03-09 08:22:00,29835.0
2011-03-10 02:46:00,2011-03-10 03:52:00,126.0
2011-03-11 02:07:00,2011-03-14 03:56:00,4489.0
2011-03-15 11:16:00,2011-03-25 12:58:00,14562.0
2011-03-26 02:55:00,2011-03-30 14:26:00,6511.0
2011-04-01 12:44:00,2011-04-01 15:41:00,237.0
2011-04-02 05:11:00,2011-04-03 05:36:00,1525.0
2011-04-03 18:57:00,2011-04-05 10:57:00,2460.0
2011-04-06 14:11:00,2011-04-12 02:04:00,7973.0
2011-04-13 21:52:00,2011-05-03 13:53:00,28381.0
2011-05-04 03:37:00,2011-05-14 10:56:00,14899.0
2011-05-16 01:47:00,2011-05-16 08:44:00,477.0
2011-05-17 18:06:00,2011-05-19 02:00:00,1974.0
2011-05-19 16:40:00,2011-05-22 10:53:00,4033.0
2011-05-23 03:18:00,2011-05-24 01:05:00,1367.0
2011-05-25 02:17:00,2011-05-26 14:47:00,2250.0
2011-05-27 22:25:00,2011-05-28 13:48:00,983.0
2011-05-29 13:07:00,2011-05-29 14:47:00,160.0
2011-05-30 11:52:00,2011-05-31 12:51:00,1559.0
2011-06-01 03:37:00,2011-06-06 04:15:00,7298.0
2011-06-07 06:17:00,2011-06-08 14:45:00,2008.0
2011-06-09 18:23:00,2011-06-11 13:28:00,2645.0
2011-06-12 03:18:00,2011-06-13 18:15:00,2397.0
2011-06-14 13:55:00,2011-06-16 16:07:00,3072.0
2011-06-17 21:57:00,2011-06-18 04:21:00,444.0
