IdMeasurement,Area,Source,Version,Type,Folderpath,Filename,TagSRO,Navn,StartTime,EndTime,Conversion,comment,unit,obvious_min,obvious_max,zeropoint,window_frozen,outlier_threshold,outlier_width,SaveName,ProvidedSaveName,Unit,UnitAlias
G71F04R_Level1,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL3_M2-PV-SMO.txt,G71F04R-D1-W1-BL3_M2-PV-SMO,Niv. Indløb 1,2010-08-01,2020-01-06,100.0,cm -> m,cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_System2000_p1,G71F04R_Level1_System2000p1_proc_v6,m,Meter
G71F04R_Level1,Bellinge,System2000,p2,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL3_M2-PV-SMO_red.txt,G71F04R-D1-W1-BL3_M2-PV-SMO,Niv. Indløb 1,2020-01-06,2020-10-12,68.96551724,cm -> m + scaling factor wrong initially (2.9/2),cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_System2000_p2,G71F04R_Level1_System2000p2_proc_v6,m,Meter
G71F04R_Level1,Bellinge,iFix,p3,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV_red.rpt,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV,Niv. Indløb 1,2020-10-12,2020-11-19,0.689655172,scaling factor wrong initially,cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_iFix_p3,G71F04R_Level1_iFixp3_proc_v6,m,Meter
G71F04R_Level1,Bellinge,iFix,p4,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV.rpt,SVTP03.G71F04R-D1-W1-BL3!M5-PV-SMO.F_CV,Niv. Indløb 1,2020-11-19,2021-08-19,1.0,,m,0.001,1.5,17.09,20,0.2,1,G71F04R_Level1_iFix_p4,G71F04R_Level1_iFixp4_proc_v6,m,Meter
G71F04R_Level2,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL4_M2-PV-SMO.txt,G71F04R-D1-W1-BL4_M2-PV-SMO,Niv. Indløb 2,2010-08-01,2020-01-06,100.0,cm -> m,cm,0.001,1.5,17.05,20,0.2,1,G71F04R_Level2_System2000_p1,G71F04R_Level2_System2000p1_proc_v6,m,Meter
G71F04R_Level2,Bellinge,System2000,p2,Level,./2_raw_data/,data-pG71F04R-D1-W1-BL4_M2-PV-SMO_red.txt,G71F04R-D1-W1-BL4_M2-PV-SMO,Niv. Indløb 2,2020-01-06,2020-10-12,68.96551724,cm -> m + scaling factor wrong initially,cm,0.001,1.5,17.09,20,0.2,1,G71F04R_Level2_System2000_p2,G71F04R_Level2_System2000p2_proc_v6,m,Meter
G71F04R_Level2,Bellinge,iFix,p3,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV_red.rpt,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV,Niv. Indløb 2,2020-10-12,2020-11-19,0.689655172,scaling factor wrong initially,cm,0.001,1.5,17.05,20,0.2,1,G71F04R_Level2_iFix_p3,G71F04R_Level2_iFixp3_proc_v6,m,Meter
G71F04R_Level2,Bellinge,iFix,p4,Level,./2_raw_data/,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV.rpt,SVTP03.G71F04R-D1-W1-BL4!M5-PV-SMO.F_CV,Niv. Indløb 2,2020-11-19,2021-08-19,1.0,,m,0.001,1.5,17.05,20,0.2,1,G71F04R_Level2_iFix_p4,G71F04R_Level2_iFixp4_proc_v6,m,Meter
G71F05R_LevelBasin,Bellinge,System2000,p1,Level,./2_raw_data/,data-pG71F05R-D1-W1-BL3_M2-PV-SMO.txt,G71F05R-D1-W1-BL3_M2-PV-SMO,Niv. Skyllevandsbeh.,2010-08-01,2020-10-12,100.0,cm -> m,cm,0.0,5.0,14.14,20,0.2,1,G71F05R_LevelBasin_System2000_p1,G71F05R_LevelBasin_System2000p1_proc_v6,m,Meter
G71F05R_LevelBasin,Bellinge,iFix,p1,Level,./2_raw_data/,SVTP03.G71F05R-D1-W1-BL3!M5-PV-SMO.F_CV.rpt,SVTP03.G71F05R-D1-W1-BL3!M5-PV-SMO.F_CV,Niv. Skyllevandsbeh.,2020-10-13,2021-08-19,1.0,,cm,0.0,5.0,14.14,20,0.2,1,G71F05R_LevelBasin_iFix_p1,G71F05R_LevelBasin_iFixp1_proc_v6,m,Meter
